Player,Age,Pos,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Sergey Karasev,20,SF,CLE,22,1.0,156,2.8,8.1,0.34299999999999997,0.9,4.4,0.21100000000000002,1.8,3.7,0.5,2.1,2.3,0.9,0.0,3.7,3.7,1.4,0.7,0.2,2.5,5.1,8.5,2.3,0.47,0.5429999999999999,0.28600000000000003,0.0,11.8,5.8,5.6,1.0,0.5,21.8,14.4,-0.2,0.1,-0.1,-0.040999999999999995,-7.5,-0.9,-8.4,-0.3
Ryan Kelly,22,PF,LAL,59,25.0,1312,4.3,10.2,0.423,1.3,3.9,0.33799999999999997,3.0,6.3,0.47600000000000003,3.0,3.7,0.815,1.2,4.9,6.0,2.6,0.9,1.2,1.3,4.0,13.0,12.6,0.5479999999999999,0.38299999999999995,0.364,3.4,14.4,8.9,10.7,1.2,2.5,9.8,15.9,1.5,0.7,2.2,0.081,-1.4,-0.1,-1.5,0.2
Ognjen Kuzmić,23,C,GSW,21,0.0,92,2.0,5.1,0.385,0.0,0.0,,2.0,5.1,0.385,2.0,4.3,0.455,3.9,4.3,8.2,0.8,1.2,1.6,3.9,6.7,5.9,3.4,0.42,0.0,0.846,12.1,12.8,12.5,2.9,1.6,3.3,35.9,13.3,-0.2,0.1,0.0,-0.025,-8.7,-0.2,-8.9,-0.2
Shane Larkin,21,PG,DAL,48,0.0,489,3.8,10.1,0.38,0.9,2.8,0.316,2.9,7.3,0.40399999999999997,1.2,1.8,0.64,0.8,2.3,3.1,5.2,1.9,0.1,2.9,3.4,9.7,8.3,0.446,0.27699999999999997,0.182,2.6,7.3,5.0,20.4,2.7,0.2,20.9,17.4,-0.4,0.3,-0.1,-0.01,-3.8,0.0,-3.8,-0.2
Ricky Ledo,21,SG,DAL,11,0.0,33,6.5,18.5,0.353,3.3,8.7,0.375,3.3,9.8,0.33299999999999996,4.4,4.4,1.0,0.0,2.2,2.2,2.2,1.1,0.0,2.2,2.2,20.7,12.7,0.506,0.47100000000000003,0.235,0.0,7.0,3.5,9.5,1.6,0.0,9.6,28.6,0.0,0.0,0.0,0.024,-1.4,-2.5,-3.9,0.0
Alex Len,20,C,PHO,42,3.0,362,3.3,7.8,0.423,0.0,0.0,,3.3,7.8,0.423,2.0,3.1,0.645,3.9,6.0,9.8,0.4,0.4,1.8,2.6,6.8,8.6,7.3,0.469,0.0,0.397,12.1,18.6,15.3,1.6,0.6,3.8,22.1,14.3,-0.2,0.4,0.2,0.024,-5.9,-0.7,-6.6,-0.4
Ray McCallum,22,PG,SAC,45,10.0,897,4.5,12.0,0.377,0.9,2.4,0.373,3.7,9.7,0.37799999999999995,1.3,1.7,0.7440000000000001,0.7,2.4,3.2,4.8,0.9,0.4,1.6,2.8,11.2,9.7,0.439,0.19699999999999998,0.14300000000000002,2.2,7.8,5.0,21.0,1.2,0.8,10.9,17.6,0.0,0.4,0.4,0.02,-2.3,-0.8,-3.1,-0.3
CJ McCollum,22,SG,POR,38,0.0,476,5.6,13.5,0.41600000000000004,2.3,6.1,0.375,3.3,7.4,0.449,1.7,2.6,0.6759999999999999,0.5,3.1,3.6,2.0,1.1,0.2,2.6,4.0,15.2,9.0,0.521,0.449,0.191,1.6,9.2,5.4,8.7,1.5,0.3,15.4,20.9,-0.2,0.3,0.2,0.019,-2.9,-0.6,-3.4,-0.2
Ben McLemore,20,SG,SAC,82,55.0,2187,4.2,11.2,0.376,1.6,4.9,0.32,2.6,6.3,0.419,1.9,2.4,0.804,0.9,3.0,3.9,1.3,0.7,0.3,1.6,3.3,11.9,7.7,0.485,0.43700000000000006,0.21100000000000002,2.7,9.5,6.1,5.8,1.0,0.7,11.5,16.9,-0.1,0.9,0.8,0.016,-2.9,-1.1,-4.0,-1.1
Gal Mekel,25,PG,DAL,31,1.0,292,3.7,10.6,0.349,0.6,2.5,0.25,3.1,8.1,0.379,1.0,1.5,0.667,0.6,2.7,3.3,7.8,0.5,0.1,3.8,3.8,9.0,5.4,0.4,0.233,0.14,2.0,8.6,5.3,30.1,0.7,0.3,25.4,19.0,-0.5,0.1,-0.4,-0.073,-4.9,-2.7,-7.6,-0.4
Tony Mitchell,24,SF,MIL,3,0.0,10,10.8,18.0,0.6,0.0,3.6,0.0,10.8,14.4,0.75,0.0,0.0,,3.6,0.0,3.6,3.6,3.6,0.0,0.0,0.0,21.6,30.9,0.6,0.2,0.0,11.1,0.0,5.7,22.6,5.2,0.0,0.0,22.6,0.0,0.0,0.1,0.242,9.0,1.7,10.6,0.0
Tony Mitchell,21,PF,DET,21,0.0,79,2.3,5.5,0.41700000000000004,0.5,0.5,1.0,1.8,5.0,0.364,5.0,8.7,0.579,6.8,5.0,11.8,0.9,2.7,1.4,1.8,4.1,10.0,18.1,0.54,0.083,1.5830000000000002,19.7,16.0,18.0,3.4,3.8,3.0,16.4,13.2,0.1,0.1,0.2,0.151,0.5,-0.1,0.4,0.0
Shabazz Muhammad,21,SG,MIN,37,0.0,290,7.1,15.4,0.46,0.4,1.4,0.273,6.7,14.0,0.478,3.2,5.0,0.65,3.0,3.6,6.6,0.7,1.0,0.1,2.0,3.0,17.8,13.1,0.505,0.08900000000000001,0.32299999999999995,8.8,11.2,10.0,3.4,1.4,0.3,10.2,23.1,0.1,0.2,0.3,0.053,-2.2,-2.3,-4.5,-0.2
Erik Murphy,23,C,CHI,24,0.0,62,1.7,7.5,0.231,0.0,1.7,0.0,1.7,5.8,0.3,0.0,0.0,,1.2,3.5,4.6,1.2,0.0,2.3,1.2,4.1,3.5,0.2,0.231,0.231,0.0,3.7,10.8,7.3,4.9,0.0,5.0,13.3,11.2,-0.2,0.1,-0.1,-0.055,-9.0,0.3,-8.6,-0.1
Toure' Murry,24,PG,NYK,51,0.0,373,5.4,12.5,0.434,0.5,1.2,0.41700000000000004,4.9,11.3,0.436,2.2,3.8,0.59,1.3,3.0,4.2,4.7,1.8,0.1,3.3,4.4,13.5,11.1,0.479,0.09300000000000001,0.302,4.0,10.1,6.9,21.5,2.7,0.2,18.9,22.5,-0.3,0.3,0.0,0.002,-3.7,-0.7,-4.4,-0.2
Mike Muscala,22,PF,ATL,20,0.0,215,5.2,12.2,0.425,0.0,0.5,0.0,5.2,11.7,0.44299999999999995,2.3,2.3,1.0,2.8,5.9,8.7,1.2,0.5,1.7,2.0,4.9,12.7,10.8,0.48,0.040999999999999995,0.192,9.2,18.7,14.0,5.2,0.7,3.7,13.2,19.3,-0.1,0.2,0.2,0.04,-4.5,-1.0,-5.5,-0.2
Nemanja Nedović,22,SG,GSW,24,0.0,142,2.0,9.9,0.205,0.8,4.6,0.16699999999999998,1.3,5.3,0.23800000000000002,1.8,2.0,0.875,0.8,3.0,3.8,3.3,0.0,0.3,3.3,3.3,6.6,-1.7,0.306,0.462,0.205,2.3,9.1,5.8,12.1,0.0,0.5,23.4,17.2,-0.5,0.1,-0.4,-0.132,-8.2,-1.9,-10.0,-0.3
Victor Oladipo,21,PG,ORL,80,44.0,2487,5.7,13.5,0.419,1.1,3.3,0.327,4.6,10.3,0.44799999999999995,3.6,4.6,0.78,0.6,4.1,4.8,4.7,1.9,0.5,3.7,3.0,16.0,13.6,0.514,0.24100000000000002,0.34,1.9,13.1,7.5,21.9,2.7,1.2,19.2,24.4,-1.4,2.8,1.3,0.026000000000000002,-1.9,0.4,-1.4,0.3
Kelly Olynyk,22,C,BOS,70,9.0,1400,6.0,12.9,0.466,1.0,2.9,0.35100000000000003,5.0,10.0,0.5,2.5,3.1,0.8109999999999999,3.6,5.8,9.4,2.8,0.9,0.7,2.7,5.8,15.6,15.2,0.546,0.22699999999999998,0.243,11.0,18.8,14.8,13.1,1.3,1.5,16.0,21.0,1.5,1.4,2.9,0.10099999999999999,-0.9,-0.3,-1.2,0.3
Mason Plumlee,23,C,BRK,70,22.0,1275,5.6,8.5,0.659,0.0,0.1,0.0,5.6,8.4,0.6659999999999999,3.4,5.5,0.626,2.8,5.9,8.7,1.7,1.4,1.6,2.2,4.8,14.7,19.0,0.67,0.01,0.6459999999999999,9.3,19.6,14.5,8.1,2.0,3.6,16.6,17.1,3.0,1.7,4.7,0.17600000000000002,0.2,0.8,1.0,1.0
Otto Porter,20,SF,WAS,37,0.0,319,3.7,10.3,0.363,0.5,2.4,0.19,3.3,7.9,0.414,0.9,1.4,0.667,2.4,4.1,6.4,1.1,0.9,0.1,1.6,2.9,8.8,6.0,0.405,0.231,0.132,7.5,13.3,10.4,4.6,1.3,0.3,12.7,15.6,-0.4,0.3,0.0,-0.006,-4.9,-1.3,-6.2,-0.3
Phil Pressey,22,PG,BOS,75,11.0,1132,2.5,8.0,0.308,0.9,3.4,0.264,1.6,4.7,0.34,0.9,1.4,0.644,0.6,2.7,3.3,7.7,2.2,0.2,2.8,3.1,6.8,8.8,0.39,0.419,0.17800000000000002,1.9,8.8,5.3,30.8,3.1,0.3,24.2,14.1,-1.0,1.1,0.1,0.005,-3.8,0.5,-3.3,-0.4
Miroslav Raduljica,26,C,MIL,48,2.0,465,5.3,9.8,0.54,0.0,0.0,,5.3,9.8,0.54,3.5,4.3,0.818,4.2,4.2,8.4,1.8,0.5,1.0,2.2,6.5,14.0,15.3,0.603,0.0,0.43700000000000006,12.9,13.7,13.3,8.3,0.8,2.3,15.7,17.3,1.0,0.1,1.1,0.11199999999999999,-2.1,-1.6,-3.6,-0.2
Andre Roberson,22,SG,OKC,40,16.0,399,3.0,6.1,0.485,0.2,1.2,0.154,2.8,5.0,0.564,0.6,0.9,0.7,3.2,5.2,8.5,1.4,1.7,0.9,1.7,6.7,6.8,9.0,0.518,0.191,0.147,10.7,15.6,13.3,5.2,2.4,2.0,20.8,10.1,0.2,0.6,0.8,0.099,-3.8,1.4,-2.4,0.0
