Player,Age,Pos,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
James Bailey,22,PF,SEA,67,0.0,726,6.0,13.4,0.45,0.0,0.0,,6.0,13.4,0.45,3.4,5.0,0.6729999999999999,3.5,6.2,9.8,1.4,1.0,2.7,3.9,5.8,15.5,12.3,0.495,0.0,0.373,10.2,18.3,14.3,5.3,1.4,4.1,20.0,21.4,-0.4,1.4,1.0,0.063,-4.2,0.9,-3.3,-0.2
Billy Ray Bates,23,SG,POR,16,0.0,235,11.0,22.4,0.493,1.2,2.9,0.42100000000000004,9.8,19.5,0.504,4.3,6.0,0.718,2.0,2.5,4.4,4.7,2.1,0.3,3.1,4.0,27.6,24.1,0.552,0.13,0.267,6.0,7.6,6.8,23.8,2.9,0.5,10.9,32.0,0.7,0.3,0.9,0.188,3.7,0.6,4.3,0.5
Larry Bird*,23,PF,BOS,82,82.0,2955,8.4,17.8,0.474,0.7,1.7,0.406,7.7,16.1,0.48100000000000004,3.7,4.4,0.836,2.6,7.7,10.4,4.5,1.7,0.6,3.2,3.4,21.3,20.5,0.5379999999999999,0.098,0.24600000000000002,8.3,23.6,16.0,18.5,2.3,1.0,14.0,25.3,5.6,5.6,11.2,0.182,3.0,1.5,4.5,4.8
Lawrence Boston,23,PF,WSB,13,0.0,125,6.9,15.0,0.462,0.0,0.0,,6.9,15.0,0.462,2.3,3.7,0.615,5.5,5.8,11.2,0.6,1.2,0.6,2.3,7.2,16.1,12.6,0.485,0.0,0.25,15.1,16.2,15.7,2.3,1.5,0.8,12.2,20.7,0.1,0.1,0.2,0.075,-3.3,-0.7,-4.0,-0.1
Dudley Bradley,22,SG,IND,82,0.0,2027,4.9,10.8,0.452,0.0,0.1,0.4,4.8,10.7,0.452,2.4,3.1,0.782,1.2,2.7,4.0,4.5,3.7,0.9,2.9,3.4,12.2,13.5,0.502,0.008,0.28600000000000003,3.4,8.1,5.7,15.9,4.8,1.3,19.5,16.3,0.2,2.9,3.1,0.073,-2.0,3.0,1.0,1.5
Bill Cartwright,22,C,NYK,82,0.0,3150,7.6,13.9,0.547,0.0,0.0,,7.6,13.9,0.547,5.2,6.5,0.797,2.2,6.1,8.3,1.9,0.5,1.2,2.5,3.2,20.4,17.9,0.608,0.0,0.466,6.6,18.6,12.6,7.0,0.7,1.7,13.2,20.6,7.7,2.1,9.7,0.14800000000000002,1.7,-1.2,0.6,2.1
Jeff Cook,23,PF,PHO,66,0.0,904,5.1,11.0,0.469,0.0,0.1,0.0,5.1,10.8,0.474,4.1,5.1,0.8059999999999999,3.6,6.0,9.6,3.3,1.1,0.7,2.8,4.1,14.4,14.4,0.546,0.011000000000000001,0.469,11.2,18.0,14.6,12.2,1.4,1.1,17.6,17.7,1.1,1.3,2.4,0.126,-0.3,0.1,-0.2,0.4
Hollis Copeland,24,SF,NYK,75,0.0,1142,5.7,11.6,0.495,0.0,0.1,0.0,5.7,11.5,0.49700000000000005,2.0,2.7,0.733,2.2,2.7,4.9,2.5,1.9,0.8,2.6,4.9,13.5,11.0,0.526,0.005,0.23399999999999999,6.6,8.3,7.4,8.7,2.4,1.2,17.1,16.5,0.5,0.8,1.2,0.052000000000000005,-1.7,0.0,-1.8,0.1
John Coughran,28,SF,GSW,24,0.0,160,6.5,18.2,0.358,0.5,2.0,0.222,6.1,16.2,0.375,1.8,3.2,0.5710000000000001,0.5,3.8,4.3,2.7,1.6,0.2,2.9,5.4,15.3,6.0,0.39,0.111,0.17300000000000001,1.3,12.1,6.5,10.6,2.1,0.4,13.0,25.8,-0.4,0.1,-0.3,-0.086,-5.6,-0.9,-6.5,-0.3
Terry Crosby,23,PG,KCK,4,0.0,28,2.6,5.1,0.5,0.0,0.0,,2.6,5.1,0.5,2.6,2.6,1.0,0.0,1.3,1.3,9.0,0.0,0.0,6.4,5.1,7.7,3.5,0.615,0.0,0.5,0.0,4.0,1.9,30.0,0.0,0.0,50.6,14.1,0.0,0.0,0.0,-0.051,-4.4,-0.4,-4.8,0.0
Pat Cummings,23,C,MIL,71,0.0,900,7.5,14.8,0.505,0.0,0.0,,7.5,14.8,0.505,3.8,4.9,0.764,3.2,6.3,9.5,2.1,0.9,0.7,3.0,5.6,18.7,15.3,0.552,0.0,0.332,10.1,18.4,14.4,8.2,1.1,1.0,14.9,22.0,1.2,1.2,2.5,0.131,-1.0,-0.6,-1.6,0.1
Paul Dawkins,22,SF,UTA,57,0.0,776,6.5,13.9,0.47,0.0,0.2,0.2,6.5,13.7,0.475,1.5,2.2,0.688,1.9,3.9,5.8,3.6,1.5,0.4,3.5,5.2,14.7,11.0,0.49200000000000005,0.017,0.16,6.6,12.0,9.4,14.8,2.1,0.7,19.1,22.0,-0.5,0.4,-0.1,-0.009000000000000001,-2.9,-1.3,-4.2,-0.4
Greg Deane,22,SG,UTA,7,0.0,48,1.5,8.2,0.182,0.7,0.7,1.0,0.7,7.5,0.1,3.7,5.2,0.7140000000000001,1.5,3.0,4.5,4.5,0.0,0.0,2.3,2.3,7.5,4.5,0.355,0.091,0.636,5.1,9.4,7.3,15.4,0.0,0.0,17.6,15.3,-0.1,0.0,-0.1,-0.07,-3.8,-1.0,-4.8,-0.1
Larry Demic,22,PF,NYK,82,0.0,1872,4.4,10.2,0.436,0.0,0.0,,4.4,10.2,0.436,2.1,3.5,0.601,3.7,5.5,9.3,1.2,1.1,0.6,3.2,5.9,11.0,7.4,0.46799999999999997,0.0,0.34700000000000003,11.2,16.9,14.1,4.1,1.3,0.9,21.6,16.0,-1.4,1.3,-0.1,-0.002,-4.5,-1.6,-6.2,-2.0
Terry Duerod,23,SG,DET,67,0.0,1331,7.6,16.2,0.47200000000000003,0.4,1.4,0.28300000000000003,7.2,14.7,0.49,1.2,1.8,0.682,0.8,1.9,2.7,3.2,1.1,0.3,2.1,2.8,16.9,11.7,0.498,0.08900000000000001,0.11,2.3,5.5,3.9,12.4,1.4,0.4,11.2,20.4,0.6,0.2,0.7,0.026000000000000002,-1.5,-1.7,-3.3,-0.4
Earl Evans,24,PF,DET,36,0.0,381,6.0,13.2,0.45,0.7,1.7,0.389,5.3,11.5,0.45899999999999996,2.3,4.0,0.5710000000000001,2.5,4.6,7.1,3.5,1.3,0.1,3.4,6.0,14.8,10.3,0.495,0.129,0.3,7.1,13.6,10.3,12.9,1.6,0.1,18.5,19.6,-0.1,0.2,0.1,0.015,-2.8,-1.2,-4.0,-0.2
Mike Evans,24,SG,SAS,79,0.0,1246,6.0,13.4,0.44799999999999995,0.3,1.2,0.28600000000000003,5.7,12.2,0.46399999999999997,1.7,2.5,0.682,0.8,2.3,3.1,6.6,1.7,0.3,3.7,5.6,14.0,9.8,0.485,0.091,0.183,2.5,6.6,4.6,22.8,2.1,0.4,20.3,19.1,-0.4,0.5,0.1,0.004,-2.9,-1.1,-4.0,-0.6
Gary Garland,22,PG,DEN,78,0.0,1106,5.0,11.6,0.435,0.2,0.6,0.316,4.8,11.0,0.442,0.6,0.8,0.6920000000000001,1.6,2.9,4.5,4.7,1.8,0.1,2.4,2.6,10.9,10.2,0.45399999999999996,0.053,0.073,4.6,8.5,6.5,17.9,2.3,0.2,16.6,15.6,-0.2,0.7,0.5,0.02,-2.5,-0.1,-2.6,-0.2
Dave Greenwood,22,PF,CHI,82,0.0,2791,6.4,13.6,0.474,0.0,0.1,0.14300000000000002,6.4,13.5,0.47600000000000003,4.3,5.4,0.81,2.9,7.1,10.0,2.3,0.8,1.7,2.7,4.0,17.2,16.2,0.541,0.006999999999999999,0.396,9.2,21.6,15.6,9.8,1.0,2.6,14.5,21.1,3.5,3.1,6.5,0.11199999999999999,-0.1,-0.2,-0.3,1.2
Roy Hamilton,22,PG,DET,72,0.0,1116,3.7,9.3,0.401,0.0,0.1,0.0,3.7,9.2,0.40399999999999997,3.3,4.8,0.687,1.5,2.0,3.5,6.2,1.5,0.2,3.8,2.6,10.7,9.1,0.47200000000000003,0.006999999999999999,0.523,4.2,5.9,5.0,21.0,1.9,0.2,25.1,16.2,-0.7,0.3,-0.4,-0.016,-2.7,-1.6,-4.3,-0.6
Gerald Henderson,24,PG,BOS,76,2.0,1061,6.5,13.0,0.5,0.1,0.2,0.33299999999999996,6.4,12.8,0.503,3.0,4.4,0.69,1.3,1.6,2.8,5.0,1.5,0.5,3.7,3.3,16.0,12.7,0.539,0.016,0.33799999999999997,3.9,4.8,4.4,19.0,2.0,0.8,19.9,20.5,0.5,1.2,1.7,0.078,-0.5,0.1,-0.4,0.4
Johnny High,22,PG,PHO,82,0.0,1121,4.6,10.4,0.446,0.0,0.2,0.14300000000000002,4.6,10.1,0.45299999999999996,3.9,5.7,0.674,2.2,3.3,5.6,3.8,2.3,0.5,4.0,5.5,13.1,10.1,0.51,0.022000000000000002,0.551,6.9,10.0,8.5,13.7,2.9,0.7,23.5,18.6,-0.5,1.6,1.1,0.047,-3.3,0.9,-2.4,-0.1
Brad Holland,23,SG,LAL,38,0.0,197,8.0,19.0,0.423,0.5,2.7,0.2,7.5,16.3,0.461,2.7,2.9,0.938,0.7,2.4,3.1,4.0,2.7,0.2,2.4,4.4,19.4,14.3,0.47700000000000004,0.14400000000000002,0.154,2.4,6.6,4.7,14.8,3.5,0.3,10.5,25.2,0.1,0.2,0.3,0.081,-2.9,0.3,-2.6,0.0
Phil Hubbard,23,PF,DET,64,0.0,1189,6.4,13.7,0.466,0.0,0.1,0.0,6.4,13.6,0.46799999999999997,5.0,6.7,0.75,3.5,6.2,9.7,2.1,1.5,0.3,3.6,6.1,17.7,13.7,0.534,0.004,0.488,10.0,18.4,14.1,7.9,1.8,0.4,18.0,21.6,0.7,0.9,1.6,0.064,-2.3,-1.2,-3.5,-0.5
Geoff Huston,22,PG,NYK,71,0.0,923,3.7,9.4,0.39,0.1,0.7,0.17600000000000002,3.5,8.7,0.406,1.1,1.5,0.737,0.5,1.7,2.3,6.2,1.5,0.2,2.8,3.2,8.5,7.0,0.425,0.071,0.158,1.6,5.2,3.4,20.0,1.9,0.3,22.1,13.8,-0.7,0.3,-0.3,-0.017,-3.4,-1.0,-4.4,-0.6
Abdul Jeelani,25,SF,POR,77,0.0,1286,8.1,15.8,0.51,0.0,0.2,0.0,8.1,15.6,0.515,4.5,5.7,0.789,3.2,4.4,7.6,2.7,1.1,1.1,3.3,4.3,20.6,18.7,0.563,0.011000000000000001,0.361,9.6,13.5,11.5,11.6,1.5,1.8,15.2,24.6,2.3,1.5,3.8,0.141,1.7,-0.1,1.5,1.1
Cheese Johnson,22,SF,GSW,9,0.0,53,8.2,20.4,0.4,0.0,0.0,,8.2,20.4,0.4,2.0,3.4,0.6,4.1,5.4,9.5,1.4,0.7,0.0,2.7,7.5,18.3,9.4,0.419,0.0,0.16699999999999998,12.1,17.2,14.6,5.7,0.9,0.0,11.0,28.1,-0.1,0.0,0.0,-0.033,-4.5,-1.0,-5.5,-0.1
Magic Johnson*,20,SG,LAL,77,0.0,2795,6.5,12.2,0.53,0.1,0.4,0.226,6.4,11.8,0.54,4.8,6.0,0.81,2.1,5.5,7.7,7.3,2.4,0.5,3.9,2.8,17.9,20.6,0.602,0.033,0.48700000000000004,7.1,15.4,11.6,25.2,3.1,0.8,20.9,20.9,6.2,4.3,10.5,0.18,3.1,1.7,4.8,4.8
Vinnie Johnson,23,SG,SEA,38,0.0,325,5.0,12.7,0.391,0.0,0.1,0.0,5.0,12.6,0.395,3.4,4.3,0.795,2.1,4.0,6.1,6.0,2.1,0.4,4.7,4.4,13.4,10.9,0.45799999999999996,0.009000000000000001,0.33899999999999997,6.1,11.7,8.9,21.9,2.8,0.7,24.1,21.1,-0.3,0.5,0.2,0.031,-3.1,0.9,-2.2,0.0
Major Jones,26,PF,HOU,82,0.0,1545,4.4,9.1,0.48,0.0,0.1,0.33299999999999996,4.4,9.1,0.48100000000000004,1.4,2.5,0.565,3.4,5.5,8.9,1.6,1.2,1.6,2.6,4.3,10.2,10.3,0.498,0.008,0.276,10.2,17.2,13.6,5.6,1.5,2.4,20.3,14.1,-0.1,1.4,1.3,0.040999999999999995,-2.3,0.0,-2.3,-0.1
Greg Kelser,22,SF,DET,50,0.0,1233,8.2,17.3,0.47200000000000003,0.1,0.4,0.2,8.1,16.9,0.479,4.3,5.9,0.7190000000000001,3.6,4.4,8.1,3.2,1.8,1.0,4.1,5.1,20.7,16.1,0.52,0.025,0.342,10.5,13.1,11.8,12.6,2.2,1.4,17.0,25.7,0.6,0.9,1.4,0.055999999999999994,-0.3,-0.9,-1.2,0.3
Irv Kiffin,28,SF,SAS,26,0.0,212,5.4,16.3,0.33299999999999996,0.0,0.0,,5.4,16.3,0.33299999999999996,3.1,4.2,0.72,2.0,4.8,6.8,3.2,1.7,0.3,5.1,7.3,13.9,3.7,0.38299999999999995,0.0,0.26,6.2,13.9,10.1,10.9,2.1,0.5,21.9,24.5,-0.7,0.1,-0.6,-0.128,-7.1,-1.5,-8.6,-0.5
Carl Kilpatrick,23,C,UTA,2,0.0,6,6.0,12.0,0.5,0.0,0.0,,6.0,12.0,0.5,6.0,12.0,0.5,6.0,18.0,24.0,0.0,0.0,0.0,0.0,6.0,18.0,22.7,0.521,0.0,1.0,20.3,56.3,39.0,0.0,0.0,0.0,0.0,20.6,0.0,0.0,0.0,0.225,-4.3,-0.2,-4.5,0.0
Reggie King,22,PF,KCK,82,0.0,2052,4.5,8.8,0.515,0.0,0.0,0.0,4.5,8.7,0.516,2.8,3.8,0.726,3.2,6.7,9.9,1.9,1.2,0.5,1.8,4.0,11.8,13.5,0.565,0.002,0.439,9.3,20.7,14.8,6.6,1.6,0.9,14.4,13.5,2.8,3.4,6.2,0.146,-0.5,0.9,0.3,1.2
Arvid Kramer,23,C,DEN,8,0.0,45,5.6,17.6,0.318,0.0,0.0,,5.6,17.6,0.318,1.6,1.6,1.0,4.8,4.8,9.6,2.4,0.0,4.0,4.0,6.4,12.8,6.6,0.35,0.0,0.091,13.6,14.2,13.9,9.3,0.0,6.0,17.9,24.3,-0.1,0.0,-0.1,-0.102,-5.0,-0.4,-5.4,-0.1
Allen Leavell,22,PG,HOU,77,0.0,2123,5.6,11.1,0.503,0.1,0.3,0.158,5.5,10.8,0.513,3.1,3.7,0.8140000000000001,1.0,2.2,3.1,7.1,2.2,0.5,3.5,3.3,14.3,15.1,0.56,0.028999999999999998,0.337,2.9,6.8,4.8,26.3,2.8,0.7,21.4,17.8,2.6,1.4,4.0,0.091,0.6,0.5,1.1,1.7
Paul Mokeski,23,C,HOU,12,0.0,113,3.5,10.5,0.33299999999999996,0.0,0.0,,3.5,10.5,0.33299999999999996,2.2,2.9,0.778,4.5,4.8,9.2,0.6,0.3,1.9,3.2,7.6,9.2,4.4,0.392,0.0,0.273,13.3,15.1,14.2,2.2,0.4,3.0,21.3,16.4,-0.2,0.1,-0.1,-0.040999999999999995,-5.4,-1.0,-6.4,-0.2
Sidney Moncrief*,22,SG,MIL,77,0.0,1557,4.9,10.4,0.46799999999999997,0.0,0.0,0.0,4.9,10.4,0.469,5.4,6.8,0.795,3.6,4.3,7.8,3.1,1.7,0.4,2.7,2.5,15.1,15.9,0.564,0.002,0.647,11.1,12.5,11.8,10.7,2.2,0.6,16.8,17.8,2.8,2.0,4.9,0.15,1.4,0.2,1.5,1.4
Sylvester Norris,22,C,SAS,17,0.0,189,3.4,8.2,0.419,0.0,0.0,,3.4,8.2,0.419,0.8,1.1,0.667,1.9,6.3,8.2,1.1,0.6,2.3,3.6,7.8,7.6,3.3,0.43799999999999994,0.0,0.14,5.8,18.3,12.2,3.6,0.7,3.3,29.4,12.9,-0.4,0.1,-0.2,-0.055,-6.1,-0.1,-6.2,-0.3
Jim Paxson,22,SG,POR,72,0.0,1270,5.4,13.0,0.41100000000000003,0.0,0.6,0.045,5.3,12.4,0.429,1.8,2.6,0.711,0.7,2.4,3.1,4.1,1.4,0.1,2.6,2.7,12.6,9.1,0.44299999999999995,0.048,0.196,2.1,7.4,4.7,15.9,1.8,0.2,15.7,19.1,-0.8,1.1,0.3,0.011000000000000001,-3.5,-0.6,-4.1,-0.7
Wiley Peck,22,SF,SAS,52,0.0,628,4.2,9.7,0.43200000000000005,0.0,0.1,0.0,4.2,9.6,0.43700000000000006,1.9,3.2,0.618,3.8,6.7,10.5,1.9,1.0,1.3,2.8,5.7,10.3,8.9,0.466,0.012,0.325,11.5,19.6,15.6,6.1,1.2,1.9,19.9,14.5,-0.2,0.5,0.3,0.023,-3.4,-0.9,-4.2,-0.4
Sam Pellom,28,PF,ATL,44,0.0,373,4.2,10.4,0.40700000000000003,0.0,0.0,,4.2,10.4,0.40700000000000003,2.0,2.9,0.7,2.7,6.2,8.9,1.7,1.2,1.2,1.7,6.8,10.5,9.4,0.45,0.0,0.278,8.0,18.5,13.2,6.8,1.6,1.9,12.9,15.2,0.0,0.6,0.7,0.084,-3.5,1.0,-2.6,0.0
Clint Richardson,23,SG,PHI,52,0.0,988,5.8,12.7,0.457,0.0,0.1,0.33299999999999996,5.8,12.6,0.45799999999999996,1.0,1.6,0.622,2.0,2.5,4.5,3.9,0.9,0.5,2.3,3.5,12.6,9.9,0.47200000000000003,0.009000000000000001,0.129,6.2,6.9,6.6,14.9,1.1,0.8,14.8,17.5,0.1,1.0,1.1,0.052000000000000005,-2.1,-0.5,-2.6,-0.2
Cliff Robinson,19,PF,NJN,70,0.0,1661,8.5,18.1,0.469,0.0,0.1,0.25,8.5,18.0,0.47,3.6,5.2,0.6940000000000001,3.8,7.2,11.0,2.1,1.3,0.7,3.0,3.9,20.6,17.0,0.506,0.005,0.29100000000000004,10.8,20.7,15.8,9.3,1.7,1.1,12.7,25.0,1.1,2.5,3.6,0.10400000000000001,0.2,-0.8,-0.6,0.6
Jim Spanarkel,22,SG,PHI,40,0.0,442,5.9,12.5,0.47100000000000003,0.0,0.2,0.0,5.9,12.3,0.47700000000000004,4.4,5.3,0.831,2.2,2.2,4.4,4.2,1.0,0.5,4.6,4.7,16.1,10.7,0.545,0.013000000000000001,0.425,6.9,6.1,6.5,15.9,1.3,0.7,23.9,21.6,0.0,0.5,0.4,0.048,-2.6,-1.0,-3.6,-0.2
Bernard Toone,23,PF,PHI,23,0.0,124,6.7,18.6,0.359,0.3,2.0,0.14300000000000002,6.4,16.5,0.386,2.3,2.9,0.8,3.5,6.4,9.9,3.5,1.2,1.5,4.6,5.8,16.0,8.9,0.402,0.109,0.156,10.9,17.8,14.5,13.8,1.5,2.2,19.0,27.2,-0.3,0.2,-0.1,-0.036000000000000004,-5.1,-0.3,-5.4,-0.1
Duck Williams,23,PG,UTA,77,0.0,1794,4.7,10.4,0.447,0.0,0.2,0.0,4.7,10.2,0.45799999999999996,0.8,1.2,0.7,0.4,1.7,2.1,3.7,2.0,0.2,2.1,3.3,10.2,8.6,0.46399999999999997,0.023,0.11599999999999999,1.4,5.3,3.5,14.1,2.7,0.3,16.4,15.6,-0.9,0.6,-0.3,-0.009000000000000001,-3.8,-0.2,-4.0,-0.9
Sly Williams,22,SF,NYK,57,0.0,556,6.7,17.3,0.39,0.0,0.3,0.0,6.7,17.0,0.395,3.8,5.8,0.644,4.2,3.6,7.8,2.3,1.2,0.5,3.2,4.7,17.2,10.7,0.434,0.015,0.337,12.6,11.1,11.9,8.4,1.5,0.8,13.8,24.6,-0.4,0.3,-0.1,-0.006,-3.1,-2.8,-5.9,-0.5
Bubba Wilson,24,SG,GSW,16,0.0,143,1.8,6.3,0.28,0.0,0.0,,1.8,6.3,0.28,0.8,1.5,0.5,1.5,2.5,4.0,3.0,0.5,0.0,2.0,2.8,4.3,2.1,0.308,0.0,0.24,4.5,8.0,6.2,10.0,0.7,0.0,22.4,10.3,-0.2,0.0,-0.2,-0.064,-4.4,-0.9,-5.3,-0.2
Tony Zeno,22,SF,IND,8,0.0,59,3.7,12.8,0.28600000000000003,0.0,0.0,,3.7,12.8,0.28600000000000003,1.2,1.2,1.0,1.8,6.7,8.5,0.6,2.4,1.8,5.5,7.9,8.5,0.2,0.32,0.0,0.095,5.1,19.9,12.3,2.1,3.1,2.8,29.1,20.3,-0.3,0.1,-0.2,-0.16,-6.4,-0.1,-6.5,-0.2
Ollie Mack,22,SG,TOT,50,0.0,681,5.2,10.5,0.49200000000000005,0.0,0.3,0.0,5.2,10.3,0.505,2.0,2.7,0.745,1.7,2.1,3.8,2.8,1.3,0.2,1.9,2.6,12.4,10.9,0.528,0.025,0.256,5.5,6.1,5.8,10.4,1.7,0.2,13.6,15.3,0.6,0.4,1.0,0.067,-1.2,-0.5,-1.6,0.1
Steve Malovic,23,PF,TOT,39,0.0,445,2.5,5.4,0.46299999999999997,0.0,0.0,,2.5,5.4,0.46299999999999997,1.5,2.2,0.667,2.9,4.0,7.0,2.1,0.6,0.5,1.9,4.1,6.5,7.2,0.507,0.0,0.40299999999999997,8.4,12.3,10.3,6.9,0.8,0.7,22.6,9.0,0.1,0.1,0.3,0.027000000000000003,-2.7,-0.7,-3.4,-0.2
Calvin Natt,23,SF,TOT,78,0.0,2857,7.8,16.4,0.479,0.0,0.1,0.33299999999999996,7.8,16.2,0.48,3.9,5.3,0.73,3.0,5.7,8.7,2.1,1.3,0.4,2.5,2.6,19.6,17.0,0.524,0.006999999999999999,0.32299999999999995,8.8,16.7,12.7,9.1,1.6,0.7,11.8,23.2,3.5,3.7,7.1,0.12,1.2,-0.7,0.4,1.8
Darrell Allums,22,PF,DAL,22,0.0,276,3.0,8.7,0.34299999999999997,0.0,0.1,0.0,3.0,8.6,0.348,1.7,2.9,0.591,2.5,6.0,8.5,3.3,0.7,1.0,3.0,6.7,7.7,5.3,0.385,0.015,0.32799999999999996,7.6,19.7,13.4,12.5,0.9,1.7,23.1,15.1,-0.5,0.2,-0.3,-0.054000000000000006,-5.5,-0.1,-5.6,-0.3
Norman Black,23,SG,DET,3,0.0,28,3.9,12.9,0.3,0.0,0.0,,3.9,12.9,0.3,2.6,10.3,0.25,0.0,2.6,2.6,2.6,1.3,0.0,1.3,2.6,10.3,1.9,0.29600000000000004,0.0,0.8,0.0,8.8,4.2,10.0,1.7,0.0,6.9,21.0,-0.1,0.0,-0.1,-0.133,-4.7,-0.3,-5.0,-0.1
Dave Britton,22,PG,WSB,2,0.0,9,8.0,12.0,0.667,0.0,0.0,,8.0,12.0,0.667,0.0,0.0,,0.0,8.0,8.0,12.0,4.0,0.0,8.0,8.0,16.0,18.0,0.667,0.0,0.0,0.0,23.5,11.7,49.4,5.2,0.0,40.0,22.3,0.0,0.0,0.0,0.09300000000000001,-4.4,0.4,-4.0,0.0
Michael Brooks,22,SF,SDC,82,0.0,2479,7.1,14.8,0.479,0.0,0.1,0.0,7.1,14.7,0.48200000000000004,3.3,4.6,0.706,3.0,3.4,6.4,3.0,1.4,0.5,2.4,3.4,17.5,15.8,0.519,0.006,0.314,9.4,11.4,10.4,12.3,1.9,0.7,12.3,21.7,3.2,1.7,4.9,0.095,0.9,-0.9,0.0,1.2
Lewis Brown,25,C,WSB,2,0.0,5,0.0,21.6,0.0,0.0,0.0,,0.0,21.6,0.0,14.4,36.0,0.4,7.2,7.2,14.4,0.0,0.0,0.0,7.2,14.4,14.4,-18.6,0.192,0.0,1.6669999999999998,20.9,21.2,21.0,0.0,0.0,0.0,16.1,49.8,-0.1,0.0,-0.1,-0.667,-5.3,-0.4,-5.7,0.0
Rickey Brown,22,C,GSW,45,0.0,580,5.2,10.1,0.512,0.0,0.0,,5.2,10.1,0.512,1.0,1.3,0.762,3.2,7.1,10.3,1.3,0.6,0.9,1.9,6.4,11.3,10.9,0.531,0.0,0.13,9.8,22.1,15.9,4.8,0.7,1.4,15.3,13.8,0.5,0.4,0.9,0.075,-2.2,-0.6,-2.9,-0.1
Joe Barry Carroll,22,C,GSW,82,0.0,2919,7.6,15.5,0.491,0.0,0.0,0.0,7.6,15.4,0.49200000000000005,3.9,5.4,0.716,3.4,6.0,9.4,1.4,0.6,1.5,3.0,3.9,19.1,16.4,0.534,0.002,0.35100000000000003,10.3,18.7,14.4,5.8,0.8,2.3,14.4,23.0,3.7,2.0,5.7,0.094,0.0,-1.3,-1.3,0.5
Butch Carter,22,SF,LAL,54,0.0,672,6.1,13.2,0.462,0.2,0.5,0.3,5.9,12.7,0.46799999999999997,3.7,5.1,0.737,1.8,1.7,3.5,2.8,1.2,0.1,2.7,5.3,16.1,10.7,0.521,0.04,0.385,5.8,4.7,5.2,9.9,1.6,0.1,14.8,20.2,0.5,0.5,0.9,0.067,-2.8,-1.3,-4.1,-0.4
Reggie Carter,23,SG,NYK,60,0.0,536,4.0,12.0,0.33,0.0,0.2,0.0,4.0,11.8,0.335,3.4,4.6,0.7390000000000001,2.0,2.6,4.6,5.1,1.5,0.1,2.6,4.6,11.4,8.8,0.40399999999999997,0.017,0.385,6.2,8.6,7.4,18.3,2.0,0.2,15.4,18.7,-0.4,0.5,0.1,0.01,-3.3,-0.3,-3.7,-0.2
Art Collins,26,SG,ATL,29,0.0,395,3.2,9.0,0.354,0.0,0.2,0.0,3.2,8.8,0.361,2.2,3.3,0.667,1.7,2.0,3.7,2.3,1.0,0.1,2.9,3.2,8.6,4.3,0.409,0.02,0.364,5.4,6.5,6.0,8.6,1.3,0.2,21.8,15.4,-0.6,0.2,-0.4,-0.054000000000000006,-4.4,-1.4,-5.8,-0.4
Darwin Cook,22,SG,NJN,81,0.0,1980,7.0,14.9,0.46799999999999997,0.1,0.5,0.24,6.9,14.4,0.475,2.4,3.3,0.733,1.7,2.5,4.3,5.4,2.6,0.7,3.2,3.6,16.4,15.0,0.503,0.031,0.22,5.3,8.2,6.7,21.9,3.2,1.0,16.4,21.4,0.6,2.1,2.7,0.065,-0.2,1.1,0.9,1.4
Earl Cureton,23,C,PHI,52,0.0,528,6.3,14.0,0.45399999999999996,0.0,0.1,0.0,6.3,13.9,0.456,2.3,4.4,0.516,3.5,7.1,10.6,1.7,1.4,1.6,2.0,4.6,14.9,13.8,0.47,0.005,0.312,11.4,20.0,16.0,6.4,1.8,2.4,11.1,20.0,0.1,1.1,1.2,0.109,-1.9,0.4,-1.5,0.1
James Donaldson,23,C,SEA,68,0.0,980,4.7,8.7,0.542,0.0,0.0,,4.7,8.7,0.542,3.7,6.2,0.594,3.9,7.4,11.4,1.5,0.3,2.7,2.5,2.9,13.2,15.9,0.574,0.0,0.7140000000000001,12.3,22.2,17.3,6.0,0.4,4.1,17.9,15.8,1.1,1.4,2.5,0.124,0.2,0.5,0.8,0.7
Larry Drew,22,PG,DET,76,0.0,1581,4.5,11.0,0.40700000000000003,0.1,0.4,0.235,4.4,10.6,0.413,2.4,3.0,0.797,0.5,2.2,2.7,5.7,2.0,0.2,3.8,2.8,11.5,9.3,0.46399999999999997,0.035,0.275,1.7,7.5,4.4,22.7,2.6,0.3,23.4,18.1,-1.6,1.6,0.0,-0.001,-3.5,-0.2,-3.7,-0.7
Ralph Drollinger,26,C,DAL,6,0.0,67,3.8,7.5,0.5,0.0,0.0,,3.8,7.5,0.5,0.5,2.1,0.25,2.7,7.5,10.2,7.5,0.5,1.1,7.0,8.6,8.1,5.3,0.47600000000000003,0.0,0.28600000000000003,8.2,24.7,16.1,29.6,0.7,1.7,45.2,17.9,-0.2,0.1,-0.2,-0.11699999999999999,-5.0,0.8,-4.1,-0.1
